City,Latitude,Longitude,Max_Temp,Temperature,Humidity,Wind_Speed,Cloudiness,Date,Country
Tokyo,35.6895,139.6917,73.71,71.56,100,17.27,75,1627324025,JP
Jakarta,-6.2146,106.8451,80.53,78.42,71,4.18,9,1627324050,ID
Delhi,28.6667,77.2167,89.31,86.09,84,0.0,75,1627323815,IN
Mumbai,19.0144,72.8479,82.38,82.38,83,11.5,75,1627323969,IN
Manila,14.6042,120.9822,84.2,83.07,78,17.0,75,1627323951,PH
Shanghai,31.2222,121.4581,78.93,78.37,96,3.0,75,1627323830,CN
São Paulo,-23.5475,-46.6361,82.29,79.54,31,6.91,0,1627323914,BR
Seoul,37.5683,126.9778,82.0,79.95,74,2.3,0,1627323990,KR
Mexico City,19.4285,-99.1277,73.11,71.83,42,1.99,20,1627323949,MX
Guangzhou,23.1167,113.25,88.88,88.16,59,6.78,100,1627323813,CN
Beijing,39.9075,116.3972,75.09,75.09,96,5.19,100,1627324041,CN
Cairo,30.0626,31.2497,90.36,90.36,51,11.5,0,1627323787,EG
New York,40.7143,-74.006,92.12,88.36,43,1.01,75,1627323900,US
Moscow,55.7522,37.6156,75.72,73.27,46,2.39,87,1627323855,RU
Bangkok,13.75,100.5167,82.85,81.43,74,3.51,100,1627324023,TH
Buenos Aires,-34.6132,-58.3772,62.02,59.09,36,6.91,0,1627323896,AR
Shenzhen,22.5455,114.0683,88.21,86.04,94,4.54,100,1627324051,CN
Dhaka,23.7104,90.4074,85.98,85.98,74,11.5,75,1627323893,BD
Lagos,6.5833,3.75,79.12,79.12,79,7.61,92,1627324052,NG
Istanbul,41.0351,28.9833,78.22,77.9,65,12.66,0,1627323793,TR
Ōsaka,34.6937,135.5022,78.82,77.16,94,4.65,98,1627323895,JP
Karachi,24.9056,67.0822,84.02,84.02,79,21.85,75,1627323800,PK
Bangalore,12.9762,77.6033,73.04,73.04,88,13.8,40,1627323963,IN
Tehran,35.6944,51.4215,92.82,91.11,17,4.0,0,1627323964,IR
Kinshasa,-4.3246,15.3215,79.12,77.38,73,2.3,43,1627323849,CD
Ho Chi Minh City,10.75,106.6667,80.62,80.62,94,11.5,20,1627323893,VN
Los Angeles,34.0522,-118.2437,84.81,73.29,80,0.0,40,1627323756,US
Rio de Janeiro,-22.9028,-43.2075,86.22,83.55,36,9.22,0,1627323890,BR
Nanyang,32.9947,112.5328,78.26,78.26,79,5.19,0,1627324053,CN
Baoding,38.8511,115.4903,77.2,77.2,89,2.13,90,1627324053,CN
Chennai,13.0878,80.2785,82.38,82.38,78,12.66,75,1627324053,IN
Chengdu,30.6667,104.0667,78.69,78.69,83,0.0,0,1627324053,CN
Lahore,31.5497,74.3436,84.31,84.18,79,9.22,40,1627323980,PK
Paris,48.8534,2.3488,74.79,71.1,78,1.99,75,1627324054,FR
London,51.5085,-0.1257,75.69,72.86,69,8.05,95,1627324041,GB
Linyi,35.0631,118.3428,78.89,78.89,99,1.01,100,1627324054,CN
Tianjin,39.1422,117.1767,82.35,82.35,78,4.47,0,1627323908,CN
Shijiazhuang,38.0414,114.4786,78.66,78.66,82,3.71,100,1627324054,CN
Zhoukou,33.6333,114.6333,76.37,76.37,94,6.02,97,1627324055,CN
Lima,-12.0432,-77.0282,65.14,62.85,82,10.36,90,1627324055,PE
Hyderābād,25.3924,68.3737,84.63,84.63,73,24.96,96,1627324055,PK
Handan,36.6006,114.4678,79.2,79.2,80,2.55,12,1627324056,CN
Bogotá,4.6097,-74.0817,67.51,67.51,49,3.44,40,1627323904,CO
Weifang,36.71,119.1019,76.62,76.62,93,5.66,99,1627324056,CN
Nagoya,35.1815,136.9064,82.2,81.55,74,4.52,76,1627324056,JP
Wuhan,30.5833,114.2667,82.49,82.49,78,8.9,0,1627323969,CN
Heze,35.2431,115.4411,76.87,76.87,93,4.76,88,1627324057,CN
Ganzhou,28.8184,115.4327,79.32,79.32,83,4.0,12,1627324057,CN
Tongshan,34.1805,117.1571,76.93,76.93,95,10.51,100,1627324057,CN
